City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,georgetown,5.4112,100.3354,29.99,75,20,2.24,MY,1709606091
229,saint-philippe,-21.3585,55.7679,25.77,89,87,4.26,RE,1709606306
230,soio,-6.1349,12.3689,27.1,90,100,2.98,AO,1709606307
231,mar del plata,-38.0023,-57.5575,13.82,89,75,3.58,AR,1709606308
232,mount gambier,-37.8333,140.7667,30.05,14,4,3.37,AU,1709606097
233,emerald,-23.5333,148.1667,33.1,38,71,6.71,AU,1709606309
234,yorkton,51.2167,-102.4677,-21.09,77,20,5.14,CA,1709606309
235,demirtas,40.2719,29.0983,3.77,62,43,2.41,TR,1709606310
236,el granada,37.5027,-122.4694,13.03,74,40,4.12,US,1709606149
237,praia da vitoria,38.7333,-27.0667,13.75,76,20,4.74,PT,1709606311
238,zhanaozen,43.3,52.8,-0.73,54,0,4.42,KZ,1709606312
239,juneau,58.3019,-134.4197,-7.0,74,20,3.6,US,1709606312
240,collie,-33.3667,116.15,26.06,29,0,4.06,AU,1709606313
241,hassi messaoud,31.6804,6.0729,9.92,43,0,2.06,DZ,1709606314
242,antsiranana,-12.2787,49.2917,24.13,93,28,1.16,MG,1709606314
243,akureyri,65.6835,-18.0878,1.96,80,20,3.6,IS,1709606315
244,nikolayevsk-on-amure,53.1406,140.73,-8.82,68,90,4.02,RU,1709606315
245,levuka,50.1834,-105.4011,-21.1,86,18,2.42,CA,1709606316
246,villavicencio,4.142,-73.6266,26.66,60,62,2.14,CO,1709606316
247,plettenberg bay,-34.0527,23.3716,17.37,79,98,9.97,ZA,1709606317
248,greymouth,-42.4667,171.2,12.75,65,91,8.22,NZ,1709606317
249,caleta de carquin,-11.0925,-77.6267,23.86,82,100,3.3,PE,1709606318
250,leninskoye,41.7589,69.3864,2.12,55,100,1.11,KZ,1709606318
251,tiznit,29.5833,-9.5,14.07,49,98,1.12,MA,1709606319
252,longonjo,-12.9067,15.2533,17.14,95,32,0.3,AO,1709606319
253,isabela,6.7085,121.9711,30.03,58,39,3.25,PH,1709606320
254,nizhniy odes,63.6445,54.856,-20.19,95,6,3.61,RU,1709606121
255,tolanaro,-25.0319,46.9987,26.04,94,20,9.26,MG,1709606321
256,berdigestyakh,62.0989,126.6992,-14.45,90,100,0.75,RU,1709606322
257,bikenibeu village,1.3673,173.1241,30.98,79,75,4.63,KI,1709606322
258,jieshi,22.8134,115.8257,23.16,88,43,5.31,CN,1709606323
259,montagu,-40.7667,144.9667,18.13,67,80,6.94,AU,1709606324
260,itacare,-14.2775,-38.9967,25.37,87,100,0.44,BR,1709606324
261,kabompo,-13.5927,24.2008,17.8,98,93,1.88,ZM,1709606325
262,wenxing,28.6667,112.8833,8.74,89,100,5.58,CN,1709606325
263,smithers,54.7804,-127.1743,-8.82,48,75,2.06,CA,1709606110
264,zyryanovsk,49.7386,84.2719,-11.93,94,100,0.39,KZ,1709606326
265,santa rosalia,27.3167,-112.2833,15.19,65,51,0.73,MX,1709606327
266,paungde,18.4833,95.5,31.19,28,35,0.97,MM,1709606327
